scenario_id,condition,seed,rule_question_asking_rate,rule_reasoning_trace_rate,rule_target_error_preservation,rule_feedback_uptake_rate,rule_near_transfer_attempt,rule_premature_correctness,rule_role_drift_rate,rule_any_role_drift,rule_over_technical_rate,rule_any_over_technical,rule_bare_answer_rate,rule_contradiction_rate,rule_any_unsupported,rule_correction_timing_index,rule_correction_turn_idx,rule_misconception_persists_to_end,n_learner_turns,n_tutor_turns,ablation,expected_drop
SC_0009,C1_ablate_transfer,17,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0009,C1_ablate_transfer,42,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0009,C1_ablate_transfer,91,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0014,C1_ablate_transfer,17,0.8,1.0,False,1.0,True,True,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0014,C1_ablate_transfer,42,0.8,1.0,False,1.0,True,True,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0014,C1_ablate_transfer,91,0.8,1.0,False,1.0,True,True,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0195,C1_ablate_transfer,17,0.75,1.0,False,,True,True,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_0195,C1_ablate_transfer,42,0.75,1.0,False,,True,True,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_0195,C1_ablate_transfer,91,0.75,1.0,False,,True,True,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_0243,C1_ablate_transfer,17,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0243,C1_ablate_transfer,42,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0243,C1_ablate_transfer,91,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0265,C1_ablate_transfer,17,0.8888888888888888,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_0265,C1_ablate_transfer,42,0.8888888888888888,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_0265,C1_ablate_transfer,91,0.8888888888888888,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_0292,C1_ablate_transfer,17,0.8888888888888888,1.0,False,,True,False,0.1111111111111111,True,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_0292,C1_ablate_transfer,42,0.8888888888888888,1.0,False,,True,False,0.1111111111111111,True,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_0292,C1_ablate_transfer,91,0.8888888888888888,1.0,False,,True,False,0.1111111111111111,True,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_0323,C1_ablate_transfer,17,0.8,1.0,False,1.0,True,True,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0323,C1_ablate_transfer,42,0.8,1.0,False,1.0,True,True,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0323,C1_ablate_transfer,91,0.8,1.0,False,1.0,True,True,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0561,C1_ablate_transfer,17,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0561,C1_ablate_transfer,42,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0561,C1_ablate_transfer,91,0.9090909090909091,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.1,True,0.0,0,False,11,11,C1_ablate_transfer,TA1
SC_0605,C1_ablate_transfer,17,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_0605,C1_ablate_transfer,42,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_0605,C1_ablate_transfer,91,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_0800,C1_ablate_transfer,17,0.8,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0800,C1_ablate_transfer,42,0.8,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0800,C1_ablate_transfer,91,0.8,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_0921,C1_ablate_transfer,17,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_0921,C1_ablate_transfer,42,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_0921,C1_ablate_transfer,91,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_1260,C1_ablate_transfer,17,0.9,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.1111111111111111,True,0.0,0,False,10,10,C1_ablate_transfer,TA1
SC_1260,C1_ablate_transfer,42,0.9,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.1111111111111111,True,0.0,0,False,10,10,C1_ablate_transfer,TA1
SC_1260,C1_ablate_transfer,91,0.9,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.1111111111111111,True,0.0,0,False,10,10,C1_ablate_transfer,TA1
SC_1293,C1_ablate_transfer,17,0.8888888888888888,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_1293,C1_ablate_transfer,42,0.8888888888888888,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_1293,C1_ablate_transfer,91,0.8888888888888888,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.125,True,0.0,0,False,9,9,C1_ablate_transfer,TA1
SC_1314,C1_ablate_transfer,17,0.875,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.14285714285714285,True,0.0,0,False,8,8,C1_ablate_transfer,TA1
SC_1314,C1_ablate_transfer,42,0.875,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.14285714285714285,True,0.0,0,False,8,8,C1_ablate_transfer,TA1
SC_1314,C1_ablate_transfer,91,0.875,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.14285714285714285,True,0.0,0,False,8,8,C1_ablate_transfer,TA1
SC_1368,C1_ablate_transfer,17,0.8,1.0,False,,True,False,0.4,True,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_1368,C1_ablate_transfer,42,0.8,1.0,False,,True,False,0.4,True,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_1368,C1_ablate_transfer,91,0.8,1.0,False,,True,False,0.4,True,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_1429,C1_ablate_transfer,17,0.75,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_1429,C1_ablate_transfer,42,0.75,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_1429,C1_ablate_transfer,91,0.75,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_1437,C1_ablate_transfer,17,0.9166666666666666,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.09090909090909091,True,0.0,0,False,12,12,C1_ablate_transfer,TA1
SC_1437,C1_ablate_transfer,42,0.9166666666666666,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.09090909090909091,True,0.0,0,False,12,12,C1_ablate_transfer,TA1
SC_1437,C1_ablate_transfer,91,0.9166666666666666,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.09090909090909091,True,0.0,0,False,12,12,C1_ablate_transfer,TA1
SC_1523,C1_ablate_transfer,17,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_1523,C1_ablate_transfer,42,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_1523,C1_ablate_transfer,91,0.8333333333333334,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.2,True,0.0,0,False,6,6,C1_ablate_transfer,TA1
SC_1527,C1_ablate_transfer,17,0.8,1.0,False,,True,True,0.2,True,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_1527,C1_ablate_transfer,42,0.8,1.0,False,,True,True,0.2,True,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_1527,C1_ablate_transfer,91,0.8,1.0,False,,True,True,0.2,True,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
SC_1572,C1_ablate_transfer,17,0.75,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_1572,C1_ablate_transfer,42,0.75,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_1572,C1_ablate_transfer,91,0.75,1.0,False,,True,False,0.0,False,0.0,False,0.0,0.3333333333333333,True,0.0,0,False,4,4,C1_ablate_transfer,TA1
SC_1786,C1_ablate_transfer,17,0.8,1.0,False,1.0,True,False,0.0,False,0.0,False,0.0,0.25,True,0.0,0,False,5,5,C1_ablate_transfer,TA1
