packet_id,true_condition,scenario_id,seed,json_path,calibration
F56975F6,C1,SC_1030,42,outputs/main/C1/SC_1030_42.json,False
3A421D87,C1,SC_0946,17,outputs/main/C1/SC_0946_17.json,False
D29A759C,C1,SC_1116,42,outputs/main/C1/SC_1116_42.json,False
2434C5BA,C1,SC_0900,91,outputs/main/C1/SC_0900_91.json,False
320EECA9,C1,SC_0407,91,outputs/main/C1/SC_0407_91.json,False
B1BD0CC0,C1,SC_0487,91,outputs/main/C1/SC_0487_91.json,False
45C9D561,C1,SC_1470,91,outputs/main/C1/SC_1470_91.json,False
0916C27B,C1,SC_0192,17,outputs/main/C1/SC_0192_17.json,False
89E80DC2,C1,SC_0996,91,outputs/main/C1/SC_0996_91.json,False
DF14544B,C1,SC_0746,17,outputs/main/C1/SC_0746_17.json,False
7E303054,C1,SC_0409,42,outputs/main/C1/SC_0409_42.json,False
B8BDB9C0,C1,SC_0243,91,outputs/main/C1/SC_0243_91.json,False
E16D1881,C1,SC_1036,42,outputs/main/C1/SC_1036_42.json,False
3DE91ED6,C1,SC_1527,42,outputs/main/C1/SC_1527_42.json,False
FF80B87D,C1,SC_1030,91,outputs/main/C1/SC_1030_91.json,False
64089044,C1,SC_1358,42,outputs/main/C1/SC_1358_42.json,False
82D812B0,C1,SC_1281,17,outputs/main/C1/SC_1281_17.json,False
02F1F0F5,C1,SC_0072,91,outputs/main/C1/SC_0072_91.json,False
902D2B9F,C1,SC_1486,42,outputs/main/C1/SC_1486_42.json,False
9B4923FE,C1,SC_0132,17,outputs/main/C1/SC_0132_17.json,False
EB452F27,C1,SC_0292,42,outputs/main/C1/SC_0292_42.json,False
8835FE0C,C1,SC_1925,42,outputs/main/C1/SC_1925_42.json,False
319D1337,C1,SC_1340,42,outputs/main/C1/SC_1340_42.json,False
30B00438,C1,SC_0014,42,outputs/main/C1/SC_0014_42.json,False
4C46EF25,C1,SC_1363,42,outputs/main/C1/SC_1363_42.json,False
8AC8571B,C1,SC_0192,91,outputs/main/C1/SC_0192_91.json,False
A331DCB2,C1,SC_1119,17,outputs/main/C1/SC_1119_17.json,False
8C0F6651,C1,SC_1429,42,outputs/main/C1/SC_1429_42.json,False
E592A05B,C1,SC_1523,17,outputs/main/C1/SC_1523_17.json,False
5001A7F4,C1,SC_2147,17,outputs/main/C1/SC_2147_17.json,False
312A6584,C1,SC_0570,42,outputs/main/C1/SC_0570_42.json,False
D62E2979,C1,SC_1515,91,outputs/main/C1/SC_1515_91.json,False
E3D6F7CC,C1,SC_0921,17,outputs/main/C1/SC_0921_17.json,False
D6D405A1,C1,SC_1572,42,outputs/main/C1/SC_1572_42.json,False
AB80BD07,C1,SC_1250,17,outputs/main/C1/SC_1250_17.json,False
556CCEB5,C1,SC_1250,42,outputs/main/C1/SC_1250_42.json,False
C83A35F5,C1,SC_2108,91,outputs/main/C1/SC_2108_91.json,False
