packet_id,coder_id,qtype,HL1,HL2,HL3,EQ1,notes
9B56D6BB,CoderA,Fill,,,,,
9B56D6BB,CoderB,Fill,,,,,
D4D2F806,CoderA,Fill,,,,,
D4D2F806,CoderB,Fill,,,,,
188A1516,CoderA,Fill,,,,,
188A1516,CoderB,Fill,,,,,
AA0A52D5,CoderA,Fill,,,,,
AA0A52D5,CoderB,Fill,,,,,
ABA04208,CoderA,Fill,,,,,
ABA04208,CoderB,Fill,,,,,
C37575BB,CoderA,Fill,,,,,
C37575BB,CoderB,Fill,,,,,
C9620FAF,CoderA,Fill,,,,,
C9620FAF,CoderB,Fill,,,,,
4D512633,CoderA,Fill,,,,,
4D512633,CoderB,Fill,,,,,
C02CE39E,CoderA,Fill,,,,,
C02CE39E,CoderB,Fill,,,,,
39E5D7A9,CoderA,Fill,,,,,
39E5D7A9,CoderB,Fill,,,,,
E7077296,CoderA,Fill,,,,,
E7077296,CoderB,Fill,,,,,
83DC7866,CoderA,Fill,,,,,
83DC7866,CoderB,Fill,,,,,
5C95912E,CoderA,Fill,,,,,
5C95912E,CoderB,Fill,,,,,
E81FE12D,CoderA,Fill,,,,,
E81FE12D,CoderB,Fill,,,,,
A06FB5C6,CoderA,Fill,,,,,
A06FB5C6,CoderB,Fill,,,,,
D13FA71C,CoderA,Fill,,,,,
D13FA71C,CoderB,Fill,,,,,
D50E7DBC,CoderA,Fill,,,,,
D50E7DBC,CoderB,Fill,,,,,
A2D7DFB7,CoderA,Fill,,,,,
A2D7DFB7,CoderB,Fill,,,,,
1E288E3E,CoderA,Fill,,,,,
1E288E3E,CoderB,Fill,,,,,
BC71C030,CoderA,Fill,,,,,
BC71C030,CoderB,Fill,,,,,
F0CA7180,CoderA,MCQ,,,,,
F0CA7180,CoderB,MCQ,,,,,
1FCD63E3,CoderA,MCQ,,,,,
1FCD63E3,CoderB,MCQ,,,,,
CCD6C0A8,CoderA,MCQ,,,,,
CCD6C0A8,CoderB,MCQ,,,,,
DBD321C4,CoderA,MCQ,,,,,
DBD321C4,CoderB,MCQ,,,,,
14F6A947,CoderA,MCQ,,,,,
14F6A947,CoderB,MCQ,,,,,
7C33FDBA,CoderA,MCQ,,,,,
7C33FDBA,CoderB,MCQ,,,,,
91AE9B4C,CoderA,MCQ,,,,,
91AE9B4C,CoderB,MCQ,,,,,
D064B623,CoderA,MCQ,,,,,
D064B623,CoderB,MCQ,,,,,
4F4FF3B8,CoderA,MCQ,,,,,
4F4FF3B8,CoderB,MCQ,,,,,
C5D41E20,CoderA,MCQ,,,,,
C5D41E20,CoderB,MCQ,,,,,
BE4CBB03,CoderA,MCQ,,,,,
BE4CBB03,CoderB,MCQ,,,,,
BD1712EA,CoderA,MCQ,,,,,
BD1712EA,CoderB,MCQ,,,,,
2430FF77,CoderA,MCQ,,,,,
2430FF77,CoderB,MCQ,,,,,
A3E74F3A,CoderA,MCQ,,,,,
A3E74F3A,CoderB,MCQ,,,,,
28C67829,CoderA,MCQ,,,,,
28C67829,CoderB,MCQ,,,,,
78468858,CoderA,MCQ,,,,,
78468858,CoderB,MCQ,,,,,
0789F754,CoderA,MCQ,,,,,
0789F754,CoderB,MCQ,,,,,
960F2F48,CoderA,MCQ,,,,,
960F2F48,CoderB,MCQ,,,,,
02B22137,CoderA,MCQ,,,,,
02B22137,CoderB,MCQ,,,,,
57C6DE74,CoderA,MCQ,,,,,
57C6DE74,CoderB,MCQ,,,,,
AD240CBF,CoderA,SA,,,,,
AD240CBF,CoderB,SA,,,,,
DE256B63,CoderA,SA,,,,,
DE256B63,CoderB,SA,,,,,
FB55AD58,CoderA,SA,,,,,
FB55AD58,CoderB,SA,,,,,
6F0B1615,CoderA,SA,,,,,
6F0B1615,CoderB,SA,,,,,
1F59A301,CoderA,SA,,,,,
1F59A301,CoderB,SA,,,,,
6EB62B6B,CoderA,SA,,,,,
6EB62B6B,CoderB,SA,,,,,
0060B56F,CoderA,SA,,,,,
0060B56F,CoderB,SA,,,,,
37B1302B,CoderA,SA,,,,,
37B1302B,CoderB,SA,,,,,
3EDDBB72,CoderA,SA,,,,,
3EDDBB72,CoderB,SA,,,,,
4A20F1C9,CoderA,SA,,,,,
4A20F1C9,CoderB,SA,,,,,
13B748EE,CoderA,SA,,,,,
13B748EE,CoderB,SA,,,,,
0F3A0A4A,CoderA,SA,,,,,
0F3A0A4A,CoderB,SA,,,,,
AEF40D65,CoderA,SA,,,,,
AEF40D65,CoderB,SA,,,,,
B9319CF1,CoderA,SA,,,,,
B9319CF1,CoderB,SA,,,,,
A228062F,CoderA,SA,,,,,
A228062F,CoderB,SA,,,,,
0592E7DC,CoderA,SA,,,,,
0592E7DC,CoderB,SA,,,,,
F694A13F,CoderA,SA,,,,,
F694A13F,CoderB,SA,,,,,
CBD3505D,CoderA,SA,,,,,
CBD3505D,CoderB,SA,,,,,
53CD4829,CoderA,SA,,,,,
53CD4829,CoderB,SA,,,,,
FF92880A,CoderA,SA,,,,,
FF92880A,CoderB,SA,,,,,
EF963571,CoderA,TF,,,,,
EF963571,CoderB,TF,,,,,
BE356299,CoderA,TF,,,,,
BE356299,CoderB,TF,,,,,
D04703DF,CoderA,TF,,,,,
D04703DF,CoderB,TF,,,,,
7533228C,CoderA,TF,,,,,
7533228C,CoderB,TF,,,,,
20C6198E,CoderA,TF,,,,,
20C6198E,CoderB,TF,,,,,
E4123683,CoderA,TF,,,,,
E4123683,CoderB,TF,,,,,
9A6D9BE1,CoderA,TF,,,,,
9A6D9BE1,CoderB,TF,,,,,
6F613437,CoderA,TF,,,,,
6F613437,CoderB,TF,,,,,
5457907A,CoderA,TF,,,,,
5457907A,CoderB,TF,,,,,
C20B4959,CoderA,TF,,,,,
C20B4959,CoderB,TF,,,,,
7BD3C22B,CoderA,TF,,,,,
7BD3C22B,CoderB,TF,,,,,
AD68BEDF,CoderA,TF,,,,,
AD68BEDF,CoderB,TF,,,,,
D5DB2124,CoderA,TF,,,,,
D5DB2124,CoderB,TF,,,,,
EEA57DD0,CoderA,TF,,,,,
EEA57DD0,CoderB,TF,,,,,
88A5C575,CoderA,TF,,,,,
88A5C575,CoderB,TF,,,,,
83998320,CoderA,TF,,,,,
83998320,CoderB,TF,,,,,
D185639C,CoderA,TF,,,,,
D185639C,CoderB,TF,,,,,
50EB3FC1,CoderA,TF,,,,,
50EB3FC1,CoderB,TF,,,,,
AF319E5A,CoderA,TF,,,,,
AF319E5A,CoderB,TF,,,,,
BEBA7015,CoderA,TF,,,,,
BEBA7015,CoderB,TF,,,,,
F4E3D2D5,CoderA,Fill,,,,,
F4E3D2D5,CoderB,Fill,,,,,
8374C0F4,CoderA,Fill,,,,,
8374C0F4,CoderB,Fill,,,,,
FF7E03F8,CoderA,Fill,,,,,
FF7E03F8,CoderB,Fill,,,,,
7308FB3D,CoderA,Fill,,,,,
7308FB3D,CoderB,Fill,,,,,
ADEB94CC,CoderA,Fill,,,,,
ADEB94CC,CoderB,Fill,,,,,
142E453C,CoderA,Fill,,,,,
142E453C,CoderB,Fill,,,,,
2A09C7A5,CoderA,Fill,,,,,
2A09C7A5,CoderB,Fill,,,,,
E3460875,CoderA,Fill,,,,,
E3460875,CoderB,Fill,,,,,
060D51EB,CoderA,Fill,,,,,
060D51EB,CoderB,Fill,,,,,
E20457D9,CoderA,Fill,,,,,
E20457D9,CoderB,Fill,,,,,
AD7565BF,CoderA,Fill,,,,,
AD7565BF,CoderB,Fill,,,,,
19854927,CoderA,Fill,,,,,
19854927,CoderB,Fill,,,,,
0D47DBB4,CoderA,Fill,,,,,
0D47DBB4,CoderB,Fill,,,,,
8C40C37D,CoderA,Fill,,,,,
8C40C37D,CoderB,Fill,,,,,
6DC37F74,CoderA,Fill,,,,,
6DC37F74,CoderB,Fill,,,,,
C95FCCEF,CoderA,Fill,,,,,
C95FCCEF,CoderB,Fill,,,,,
30C27533,CoderA,Fill,,,,,
30C27533,CoderB,Fill,,,,,
2607AEBF,CoderA,Fill,,,,,
2607AEBF,CoderB,Fill,,,,,
864D3FB7,CoderA,Fill,,,,,
864D3FB7,CoderB,Fill,,,,,
A950D979,CoderA,Fill,,,,,
A950D979,CoderB,Fill,,,,,
D9203A82,CoderA,MCQ,,,,,
D9203A82,CoderB,MCQ,,,,,
689278FD,CoderA,MCQ,,,,,
689278FD,CoderB,MCQ,,,,,
7289C2FA,CoderA,MCQ,,,,,
7289C2FA,CoderB,MCQ,,,,,
F4654636,CoderA,MCQ,,,,,
F4654636,CoderB,MCQ,,,,,
6393CD34,CoderA,MCQ,,,,,
6393CD34,CoderB,MCQ,,,,,
A4CBFAB6,CoderA,MCQ,,,,,
A4CBFAB6,CoderB,MCQ,,,,,
6421F28F,CoderA,MCQ,,,,,
6421F28F,CoderB,MCQ,,,,,
29E02D2D,CoderA,MCQ,,,,,
29E02D2D,CoderB,MCQ,,,,,
7E02A8F8,CoderA,MCQ,,,,,
7E02A8F8,CoderB,MCQ,,,,,
A4072B70,CoderA,MCQ,,,,,
A4072B70,CoderB,MCQ,,,,,
25E20A64,CoderA,MCQ,,,,,
25E20A64,CoderB,MCQ,,,,,
A3A2F1F6,CoderA,MCQ,,,,,
A3A2F1F6,CoderB,MCQ,,,,,
91DE428A,CoderA,MCQ,,,,,
91DE428A,CoderB,MCQ,,,,,
14F19DE2,CoderA,MCQ,,,,,
14F19DE2,CoderB,MCQ,,,,,
DF3067B8,CoderA,MCQ,,,,,
DF3067B8,CoderB,MCQ,,,,,
C602699B,CoderA,MCQ,,,,,
C602699B,CoderB,MCQ,,,,,
58DBA7DF,CoderA,MCQ,,,,,
58DBA7DF,CoderB,MCQ,,,,,
EBF486ED,CoderA,MCQ,,,,,
EBF486ED,CoderB,MCQ,,,,,
DF17F606,CoderA,MCQ,,,,,
DF17F606,CoderB,MCQ,,,,,
F6F92619,CoderA,MCQ,,,,,
F6F92619,CoderB,MCQ,,,,,
7B46921A,CoderA,SA,,,,,
7B46921A,CoderB,SA,,,,,
86E4F704,CoderA,SA,,,,,
86E4F704,CoderB,SA,,,,,
B3A33951,CoderA,SA,,,,,
B3A33951,CoderB,SA,,,,,
F2D9E33E,CoderA,SA,,,,,
F2D9E33E,CoderB,SA,,,,,
7794CFF4,CoderA,SA,,,,,
7794CFF4,CoderB,SA,,,,,
B7B19250,CoderA,SA,,,,,
B7B19250,CoderB,SA,,,,,
35157647,CoderA,SA,,,,,
35157647,CoderB,SA,,,,,
0312D162,CoderA,SA,,,,,
0312D162,CoderB,SA,,,,,
51A99935,CoderA,SA,,,,,
51A99935,CoderB,SA,,,,,
38895D34,CoderA,SA,,,,,
38895D34,CoderB,SA,,,,,
CDB04035,CoderA,SA,,,,,
CDB04035,CoderB,SA,,,,,
B21D10AA,CoderA,SA,,,,,
B21D10AA,CoderB,SA,,,,,
904B9949,CoderA,SA,,,,,
904B9949,CoderB,SA,,,,,
73FAF51C,CoderA,SA,,,,,
73FAF51C,CoderB,SA,,,,,
0E746BCC,CoderA,SA,,,,,
0E746BCC,CoderB,SA,,,,,
7B1A7F39,CoderA,SA,,,,,
7B1A7F39,CoderB,SA,,,,,
066F3CBB,CoderA,SA,,,,,
066F3CBB,CoderB,SA,,,,,
EAD2024E,CoderA,SA,,,,,
EAD2024E,CoderB,SA,,,,,
FF4068A1,CoderA,SA,,,,,
FF4068A1,CoderB,SA,,,,,
2A2A61D7,CoderA,SA,,,,,
2A2A61D7,CoderB,SA,,,,,
9B373D49,CoderA,TF,,,,,
9B373D49,CoderB,TF,,,,,
8C511CF5,CoderA,TF,,,,,
8C511CF5,CoderB,TF,,,,,
3A5F89B7,CoderA,TF,,,,,
3A5F89B7,CoderB,TF,,,,,
3BD56B94,CoderA,TF,,,,,
3BD56B94,CoderB,TF,,,,,
03C955A0,CoderA,TF,,,,,
03C955A0,CoderB,TF,,,,,
8F909F30,CoderA,TF,,,,,
8F909F30,CoderB,TF,,,,,
2BE19785,CoderA,TF,,,,,
2BE19785,CoderB,TF,,,,,
B63A1C9B,CoderA,TF,,,,,
B63A1C9B,CoderB,TF,,,,,
519557EF,CoderA,TF,,,,,
519557EF,CoderB,TF,,,,,
7A594AED,CoderA,TF,,,,,
7A594AED,CoderB,TF,,,,,
0D18FED4,CoderA,TF,,,,,
0D18FED4,CoderB,TF,,,,,
98B415F0,CoderA,TF,,,,,
98B415F0,CoderB,TF,,,,,
1A36D5FB,CoderA,TF,,,,,
1A36D5FB,CoderB,TF,,,,,
77D696AE,CoderA,TF,,,,,
77D696AE,CoderB,TF,,,,,
5755BAD0,CoderA,TF,,,,,
5755BAD0,CoderB,TF,,,,,
9FD6742E,CoderA,TF,,,,,
9FD6742E,CoderB,TF,,,,,
705FB909,CoderA,TF,,,,,
705FB909,CoderB,TF,,,,,
148F5870,CoderA,TF,,,,,
148F5870,CoderB,TF,,,,,
D150C0E5,CoderA,TF,,,,,
D150C0E5,CoderB,TF,,,,,
6F5A1ADA,CoderA,TF,,,,,
6F5A1ADA,CoderB,TF,,,,,
F7A13162,CoderA,Fill,,,,,
F7A13162,CoderB,Fill,,,,,
996748CC,CoderA,Fill,,,,,
996748CC,CoderB,Fill,,,,,
AFFF6DF9,CoderA,Fill,,,,,
AFFF6DF9,CoderB,Fill,,,,,
A696F655,CoderA,Fill,,,,,
A696F655,CoderB,Fill,,,,,
E14E7774,CoderA,Fill,,,,,
E14E7774,CoderB,Fill,,,,,
7867D68B,CoderA,Fill,,,,,
7867D68B,CoderB,Fill,,,,,
E975D65B,CoderA,Fill,,,,,
E975D65B,CoderB,Fill,,,,,
42366247,CoderA,Fill,,,,,
42366247,CoderB,Fill,,,,,
16065C85,CoderA,Fill,,,,,
16065C85,CoderB,Fill,,,,,
3B2B99F7,CoderA,Fill,,,,,
3B2B99F7,CoderB,Fill,,,,,
598E4DB9,CoderA,Fill,,,,,
598E4DB9,CoderB,Fill,,,,,
1A8AA93D,CoderA,Fill,,,,,
1A8AA93D,CoderB,Fill,,,,,
D4F736C5,CoderA,Fill,,,,,
D4F736C5,CoderB,Fill,,,,,
2C140247,CoderA,Fill,,,,,
2C140247,CoderB,Fill,,,,,
9DF3B4F4,CoderA,Fill,,,,,
9DF3B4F4,CoderB,Fill,,,,,
C31F03A5,CoderA,Fill,,,,,
C31F03A5,CoderB,Fill,,,,,
227F1679,CoderA,Fill,,,,,
227F1679,CoderB,Fill,,,,,
853C130B,CoderA,Fill,,,,,
853C130B,CoderB,Fill,,,,,
93DCE4D0,CoderA,Fill,,,,,
93DCE4D0,CoderB,Fill,,,,,
695266F6,CoderA,Fill,,,,,
695266F6,CoderB,Fill,,,,,
52BD5308,CoderA,MCQ,,,,,
