packet_id,coder_id,TA1,TA2,TA3,TA4,SS1,SS2,SS3,SS4,SS5,use_case_decision,flag_premature_expertise,flag_role_drift,flag_over_technical,flag_misconception_loss,flag_logical_inconsistency,flag_unsupported_reasoning,notes,scenario_id,true_condition
F56975F6,CODER_A,5,4,3,4,3,2,2,2,3,feedback_policy_testing,0,0,0,0,0,0,,SC_1030,C1
F56975F6,CODER_B,4,4,5,5,2,3,2,3,3,learning_by_teaching,0,0,0,0,0,1,,SC_1030,C1
3A421D87,CODER_A,4,4,3,4,2,2,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0946,C1
3A421D87,CODER_B,3,4,4,4,3,2,1,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0946,C1
D29A759C,CODER_A,5,3,3,4,3,2,3,2,2,learning_by_teaching,0,0,0,0,0,0,,SC_1116,C1
D29A759C,CODER_B,4,3,4,4,3,1,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_1116,C1
2434C5BA,CODER_A,4,4,3,4,4,2,2,2,3,reject,0,0,0,0,0,0,,SC_0900,C1
2434C5BA,CODER_B,5,4,3,4,3,3,3,2,4,learning_by_teaching,1,0,0,0,0,0,,SC_0900,C1
320EECA9,CODER_A,5,4,4,4,2,2,2,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_0407,C1
320EECA9,CODER_B,4,5,4,5,3,1,1,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_0407,C1
B1BD0CC0,CODER_A,4,4,4,4,3,2,2,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_0487,C1
B1BD0CC0,CODER_B,4,4,4,4,2,3,2,3,3,feedback_policy_testing,0,0,0,0,0,0,,SC_0487,C1
45C9D561,CODER_A,4,4,3,4,3,3,3,3,3,learning_by_teaching,0,0,0,0,0,0,,SC_1470,C1
45C9D561,CODER_B,3,5,3,4,3,3,3,2,2,reject,0,0,0,0,0,0,,SC_1470,C1
0916C27B,CODER_A,5,5,4,4,3,2,2,3,2,learning_by_teaching,0,1,0,0,0,1,,SC_0192,C1
0916C27B,CODER_B,4,5,3,4,4,3,3,2,3,learning_by_teaching,0,0,0,0,0,0,,SC_0192,C1
89E80DC2,CODER_A,5,4,3,4,2,2,3,3,2,learning_by_teaching,0,0,0,0,0,0,,SC_0996,C1
89E80DC2,CODER_B,4,4,5,4,1,2,3,2,3,learning_by_teaching,0,1,0,0,0,0,,SC_0996,C1
DF14544B,CODER_A,4,4,4,4,3,2,2,2,3,learning_by_teaching,0,1,0,0,0,0,,SC_0746,C1
DF14544B,CODER_B,3,4,3,5,3,1,3,3,3,diagnostic_simulation,0,0,0,0,0,0,,SC_0746,C1
