scenario_id,condition,seed,phase,model_id,prompt_version,generated_at,n_tutor_turns,n_learner_turns,exclusion_flag,exclusion_code,exclusion_reason,total_input_tokens,total_output_tokens,json_path,mock
SC_0141,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.003343,5,5,False,,,1976,165,outputs/pilot/C1/SC_0141_17.json,True
SC_0141,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.004021,5,5,False,,,1976,165,outputs/pilot/C1/SC_0141_42.json,True
SC_0174,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.006884,4,4,False,,,1712,148,outputs/pilot/C1/SC_0174_17.json,True
SC_0174,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.007245,4,4,False,,,1712,148,outputs/pilot/C1/SC_0174_42.json,True
SC_0231,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.009827,6,6,False,,,2098,205,outputs/pilot/C1/SC_0231_17.json,True
SC_0231,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.010273,6,6,False,,,2098,205,outputs/pilot/C1/SC_0231_42.json,True
SC_0241,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.012782,9,9,False,,,3222,287,outputs/pilot/C1/SC_0241_17.json,True
SC_0241,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.013277,9,9,False,,,3222,287,outputs/pilot/C1/SC_0241_42.json,True
SC_0310,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.016136,5,5,False,,,1771,165,outputs/pilot/C1/SC_0310_17.json,True
SC_0310,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.016552,5,5,False,,,1771,165,outputs/pilot/C1/SC_0310_42.json,True
SC_0442,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.019091,4,4,False,,,1436,139,outputs/pilot/C1/SC_0442_17.json,True
SC_0442,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.019466,4,4,False,,,1436,139,outputs/pilot/C1/SC_0442_42.json,True
SC_0530,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.021476,11,11,False,,,3915,341,outputs/pilot/C1/SC_0530_17.json,True
SC_0530,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.022002,11,11,False,,,3915,341,outputs/pilot/C1/SC_0530_42.json,True
SC_0622,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.025615,14,14,False,,,5521,450,outputs/pilot/C1/SC_0622_17.json,True
SC_0622,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.026452,14,14,False,,,5521,450,outputs/pilot/C1/SC_0622_42.json,True
SC_0646,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.030023,8,8,False,,,3080,277,outputs/pilot/C1/SC_0646_17.json,True
SC_0646,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.030505,8,8,False,,,3080,277,outputs/pilot/C1/SC_0646_42.json,True
SC_0803,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.032892,4,4,False,,,1546,133,outputs/pilot/C1/SC_0803_17.json,True
SC_0803,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.033246,4,4,False,,,1546,133,outputs/pilot/C1/SC_0803_42.json,True
SC_0836,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.035450,13,13,False,,,5069,431,outputs/pilot/C1/SC_0836_17.json,True
SC_0836,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.036088,13,13,False,,,5069,431,outputs/pilot/C1/SC_0836_42.json,True
SC_0953,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.039677,10,10,False,,,3482,317,outputs/pilot/C1/SC_0953_17.json,True
SC_0953,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.040208,10,10,False,,,3482,317,outputs/pilot/C1/SC_0953_42.json,True
SC_0961,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.043435,10,10,False,,,3773,335,outputs/pilot/C1/SC_0961_17.json,True
SC_0961,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.043918,10,10,False,,,3773,335,outputs/pilot/C1/SC_0961_42.json,True
SC_1010,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.046910,5,5,False,,,1952,182,outputs/pilot/C1/SC_1010_17.json,True
SC_1010,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.047267,5,5,False,,,1952,182,outputs/pilot/C1/SC_1010_42.json,True
SC_1011,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.049323,10,10,False,,,3885,327,outputs/pilot/C1/SC_1011_17.json,True
SC_1011,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.049906,10,10,False,,,3885,327,outputs/pilot/C1/SC_1011_42.json,True
SC_1066,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.052838,6,6,False,,,2197,203,outputs/pilot/C1/SC_1066_17.json,True
SC_1066,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.053201,6,6,False,,,2197,203,outputs/pilot/C1/SC_1066_42.json,True
SC_1100,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.055434,8,8,False,,,2781,284,outputs/pilot/C1/SC_1100_17.json,True
SC_1100,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.055877,8,8,False,,,2781,284,outputs/pilot/C1/SC_1100_42.json,True
SC_1103,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.059208,6,6,False,,,2297,205,outputs/pilot/C1/SC_1103_17.json,True
SC_1103,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.059681,6,6,False,,,2297,205,outputs/pilot/C1/SC_1103_42.json,True
SC_1123,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.062240,6,6,False,,,2330,217,outputs/pilot/C1/SC_1123_17.json,True
SC_1123,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.062805,6,6,False,,,2330,217,outputs/pilot/C1/SC_1123_42.json,True
SC_1161,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.065327,9,9,False,,,3293,302,outputs/pilot/C1/SC_1161_17.json,True
SC_1161,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.065901,9,9,False,,,3293,302,outputs/pilot/C1/SC_1161_42.json,True
SC_1222,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.068732,5,5,False,,,1681,181,outputs/pilot/C1/SC_1222_17.json,True
SC_1222,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.069052,5,5,False,,,1681,181,outputs/pilot/C1/SC_1222_42.json,True
SC_1262,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.070982,4,4,False,,,1634,149,outputs/pilot/C1/SC_1262_17.json,True
SC_1262,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.071294,4,4,False,,,1634,149,outputs/pilot/C1/SC_1262_42.json,True
SC_1289,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.073033,9,9,True,E2,Turn 0: non-math content (movie),3109,298,outputs/pilot/C1/SC_1289_17.json,True
SC_1289,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.073339,9,9,True,E2,Turn 0: non-math content (movie),3109,298,outputs/pilot/C1/SC_1289_42.json,True
SC_1326,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.075423,5,5,False,,,1882,173,outputs/pilot/C1/SC_1326_17.json,True
SC_1326,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.075778,5,5,False,,,1882,173,outputs/pilot/C1/SC_1326_42.json,True
SC_1328,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.078024,4,4,False,,,1585,141,outputs/pilot/C1/SC_1328_17.json,True
SC_1328,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.078382,4,4,False,,,1585,141,outputs/pilot/C1/SC_1328_42.json,True
SC_1393,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.080449,4,4,False,,,1482,140,outputs/pilot/C1/SC_1393_17.json,True
SC_1393,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.080774,4,4,False,,,1482,140,outputs/pilot/C1/SC_1393_42.json,True
SC_1398,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.082522,5,5,False,,,2022,174,outputs/pilot/C1/SC_1398_17.json,True
SC_1398,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.082865,5,5,False,,,2022,174,outputs/pilot/C1/SC_1398_42.json,True
SC_1433,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.085194,9,9,False,,,3944,296,outputs/pilot/C1/SC_1433_17.json,True
SC_1433,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.085705,9,9,False,,,3944,296,outputs/pilot/C1/SC_1433_42.json,True
SC_1451,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.089468,29,29,False,,,11124,884,outputs/pilot/C1/SC_1451_17.json,True
SC_1451,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.090858,29,29,False,,,11124,884,outputs/pilot/C1/SC_1451_42.json,True
SC_1455,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.098368,6,6,False,,,2587,201,outputs/pilot/C1/SC_1455_17.json,True
SC_1455,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.098788,6,6,False,,,2587,201,outputs/pilot/C1/SC_1455_42.json,True
SC_1458,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.101498,6,6,False,,,2383,214,outputs/pilot/C1/SC_1458_17.json,True
SC_1458,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.101916,6,6,False,,,2383,214,outputs/pilot/C1/SC_1458_42.json,True
SC_1509,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.104121,7,7,False,,,2602,236,outputs/pilot/C1/SC_1509_17.json,True
SC_1509,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.104498,7,7,False,,,2602,236,outputs/pilot/C1/SC_1509_42.json,True
SC_1597,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.106924,13,13,False,,,4382,385,outputs/pilot/C1/SC_1597_17.json,True
SC_1597,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.107577,13,13,False,,,4382,385,outputs/pilot/C1/SC_1597_42.json,True
SC_1604,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.111508,8,8,False,,,2694,257,outputs/pilot/C1/SC_1604_17.json,True
SC_1604,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.111958,8,8,False,,,2694,257,outputs/pilot/C1/SC_1604_42.json,True
SC_1669,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.114523,5,5,False,,,1835,170,outputs/pilot/C1/SC_1669_17.json,True
SC_1669,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.114856,5,5,False,,,1835,170,outputs/pilot/C1/SC_1669_42.json,True
SC_1685,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.116871,9,9,False,,,3417,287,outputs/pilot/C1/SC_1685_17.json,True
SC_1685,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.117363,9,9,False,,,3417,287,outputs/pilot/C1/SC_1685_42.json,True
SC_1704,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.120309,4,4,False,,,1521,143,outputs/pilot/C1/SC_1704_17.json,True
SC_1704,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.120636,4,4,False,,,1521,143,outputs/pilot/C1/SC_1704_42.json,True
SC_1729,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.122545,8,8,False,,,2888,261,outputs/pilot/C1/SC_1729_17.json,True
SC_1729,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.122971,8,8,False,,,2888,261,outputs/pilot/C1/SC_1729_42.json,True
SC_1866,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.125501,7,7,False,,,3023,237,outputs/pilot/C1/SC_1866_17.json,True
SC_1866,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.125958,7,7,False,,,3023,237,outputs/pilot/C1/SC_1866_42.json,True
SC_1883,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.128492,5,5,False,,,1861,175,outputs/pilot/C1/SC_1883_17.json,True
SC_1883,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.128882,5,5,False,,,1861,175,outputs/pilot/C1/SC_1883_42.json,True
SC_1902,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.131273,6,6,False,,,2263,206,outputs/pilot/C1/SC_1902_17.json,True
SC_1902,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.131739,6,6,False,,,2263,206,outputs/pilot/C1/SC_1902_42.json,True
SC_1916,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.134423,9,9,False,,,3154,300,outputs/pilot/C1/SC_1916_17.json,True
SC_1916,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.134951,9,9,False,,,3154,300,outputs/pilot/C1/SC_1916_42.json,True
SC_1952,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.137709,11,11,False,,,3831,356,outputs/pilot/C1/SC_1952_17.json,True
SC_1952,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.138255,11,11,False,,,3831,356,outputs/pilot/C1/SC_1952_42.json,True
SC_1956,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.142380,10,10,False,,,3865,316,outputs/pilot/C1/SC_1956_17.json,True
SC_1956,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.143007,10,10,False,,,3865,316,outputs/pilot/C1/SC_1956_42.json,True
SC_2047,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.146380,11,11,False,,,4141,362,outputs/pilot/C1/SC_2047_17.json,True
SC_2047,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.146911,11,11,False,,,4141,362,outputs/pilot/C1/SC_2047_42.json,True
SC_2061,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.150043,5,5,False,,,1774,170,outputs/pilot/C1/SC_2061_17.json,True
SC_2061,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.150433,5,5,False,,,1774,170,outputs/pilot/C1/SC_2061_42.json,True
SC_2076,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.152899,6,6,False,,,2145,198,outputs/pilot/C1/SC_2076_17.json,True
SC_2076,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.153259,6,6,False,,,2145,198,outputs/pilot/C1/SC_2076_42.json,True
SC_2162,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.155493,10,10,False,,,3759,344,outputs/pilot/C1/SC_2162_17.json,True
SC_2162,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.155989,10,10,False,,,3759,344,outputs/pilot/C1/SC_2162_42.json,True
SC_2241,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.160009,14,14,False,,,5477,432,outputs/pilot/C1/SC_2241_17.json,True
SC_2241,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.160653,14,14,False,,,5477,432,outputs/pilot/C1/SC_2241_42.json,True
SC_2242,C1,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.165782,9,9,False,,,3590,301,outputs/pilot/C1/SC_2242_17.json,True
SC_2242,C1,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.166355,9,9,False,,,3590,301,outputs/pilot/C1/SC_2242_42.json,True
SC_0141,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.004428,5,5,False,,,2051,131,outputs/pilot/C2/SC_0141_17.json,True
SC_0141,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.004814,5,5,False,,,2051,131,outputs/pilot/C2/SC_0141_42.json,True
SC_0174,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.007585,4,4,False,,,1736,94,outputs/pilot/C2/SC_0174_17.json,True
SC_0174,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.007879,4,4,False,,,1736,94,outputs/pilot/C2/SC_0174_42.json,True
SC_0231,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.010676,6,6,False,,,2332,158,outputs/pilot/C2/SC_0231_17.json,True
SC_0231,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.011057,6,6,False,,,2332,158,outputs/pilot/C2/SC_0231_42.json,True
SC_0241,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.013762,9,9,False,,,3465,242,outputs/pilot/C2/SC_0241_17.json,True
SC_0241,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.014320,9,9,False,,,3465,242,outputs/pilot/C2/SC_0241_42.json,True
SC_0310,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.017040,5,5,False,,,1861,122,outputs/pilot/C2/SC_0310_17.json,True
SC_0310,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.017424,5,5,False,,,1861,122,outputs/pilot/C2/SC_0310_42.json,True
SC_0442,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.019762,4,4,False,,,1616,97,outputs/pilot/C2/SC_0442_17.json,True
SC_0442,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.020040,4,4,False,,,1616,97,outputs/pilot/C2/SC_0442_42.json,True
SC_0530,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.022520,11,11,False,,,4025,290,outputs/pilot/C2/SC_0530_17.json,True
SC_0530,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.022993,11,11,False,,,4025,290,outputs/pilot/C2/SC_0530_42.json,True
SC_0622,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.027136,14,14,False,,,5605,380,outputs/pilot/C2/SC_0622_17.json,True
SC_0622,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.027747,14,14,False,,,5605,380,outputs/pilot/C2/SC_0622_42.json,True
SC_0646,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.030938,8,8,False,,,3160,229,outputs/pilot/C2/SC_0646_17.json,True
SC_0646,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.031331,8,8,False,,,3160,229,outputs/pilot/C2/SC_0646_42.json,True
SC_0803,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.033569,4,4,False,,,1578,86,outputs/pilot/C2/SC_0803_17.json,True
SC_0803,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.033868,4,4,False,,,1578,86,outputs/pilot/C2/SC_0803_42.json,True
SC_0836,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.036694,13,13,False,,,5212,372,outputs/pilot/C2/SC_0836_17.json,True
SC_0836,C2,42,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.037330,13,13,False,,,5212,372,outputs/pilot/C2/SC_0836_42.json,True
SC_0953,C2,17,pilot,mock-model-v1,v1.0-mock,2026-05-15T08:20:00.040731,10,10,False,,,3532,265,outputs/pilot/C2/SC_0953_17.json,True
