scenario_id,condition,seed,phase,model_id,model_tag,prompt_version,generated_at,n_tutor_turns,n_learner_turns,exclusion_flag,exclusion_code,exclusion_reason,total_input_tokens,total_output_tokens,total_cost_usd,json_path
SC_0009,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:13:07.146342,11,11,False,,,13250,1145,0.056925,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0009_17.json
SC_0009,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:14:42.884631,11,11,False,,,13601,1175,0.058428,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0009_42.json
SC_0009,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:16:09.159643,11,11,False,,,13695,1200,0.059085,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0009_91.json
SC_0014,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:26:30.714428,5,5,False,,,3701,546,0.019293,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0014_17.json
SC_0014,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:26:48.813919,5,5,False,,,3644,572,0.019512,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0014_42.json
SC_0014,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:27:07.872583,5,5,False,,,3598,491,0.018159,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0014_91.json
SC_0040,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:30:44.416669,12,12,False,,,12527,1126,0.054471,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0040_17.json
SC_0040,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:31:22.435511,12,12,False,,,12164,1040,0.052092,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0040_42.json
SC_0040,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:32:00.700328,12,12,False,,,12144,976,0.051072,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0040_91.json
SC_0046,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T01:41:30.922468,8,8,False,,,6704,740,0.031212,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0046_17.json
SC_0046,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:39:04.083899,8,8,False,,,6464,691,0.029757,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0046_42.json
SC_0046,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:39:32.181850,8,8,False,,,6673,710,0.030669,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0046_91.json
SC_0072,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:43:49.023803,5,5,False,,,4521,619,0.022848,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0072_17.json
SC_0072,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:44:09.412332,5,5,False,,,4372,597,0.022071,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0072_42.json
SC_0072,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:44:31.030914,5,5,False,,,4608,678,0.023994,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0072_91.json
SC_0097,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:49:07.461907,14,14,False,,,14342,997,0.057981,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0097_17.json
SC_0097,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:49:49.331028,14,14,False,,,14213,1012,0.057819,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0097_42.json
SC_0097,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T02:50:32.688092,14,14,False,,,13540,974,0.05523,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0097_91.json
SC_0123,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T03:29:49.645702,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0123_17.json
SC_0123,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T03:32:52.191178,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0123_42.json
SC_0123,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T03:35:54.419787,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0123_91.json
SC_0132,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T01:52:53.024169,8,8,True,E2,Turn 6: non-math content (war),7226,624,0.031038,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0132_17.json
SC_0132,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T04:06:18.057280,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0132_42.json
SC_0132,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T04:09:19.463112,8,8,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0132_91.json
SC_0157,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T04:29:26.289597,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0157_17.json
SC_0157,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T04:31:20.014019,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0157_42.json
SC_0157,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T04:33:14.076480,5,5,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0157_91.json
SC_0192,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T04:52:57.216185,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0192_17.json
SC_0192,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T04:55:36.768389,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0192_42.json
SC_0192,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T04:58:15.947424,7,7,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0192_91.json
SC_0195,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T05:23:42.392493,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0195_17.json
SC_0195,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T05:25:13.235013,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0195_42.json
SC_0195,C1,91,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T05:26:44.718222,4,4,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0195_91.json
SC_0222,C1,17,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T05:46:53.064956,17,17,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0222_17.json
SC_0222,C1,42,main,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,v1.0,2026-05-16T05:53:20.465254,17,17,True,E1,≥2 empty/short turns in dialogue,0,0,0.0,outputs/main/claude-sonnet-4-5-20250929/C1/SC_0222_42.json
