scenario_id,condition,seed,phase,model_id,model_tag,prompt_version,generated_at,n_tutor_turns,n_learner_turns,exclusion_flag,exclusion_code,exclusion_reason,total_input_tokens,total_output_tokens,total_cost_usd,json_path
SC_0009,C1,17,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T01:59:06.012603,11,11,False,,,11055,865,0.001452,outputs/main/gemini-2.5-pro/C1/SC_0009_17.json
SC_0009,C1,42,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T01:59:25.348256,11,11,False,,,12273,1140,0.001683,outputs/main/gemini-2.5-pro/C1/SC_0009_42.json
SC_0009,C1,91,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T01:59:47.779280,11,11,False,,,13187,1458,0.001902,outputs/main/gemini-2.5-pro/C1/SC_0009_91.json
SC_0014,C1,17,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:05:02.385338,5,5,False,,,3152,387,0.00047,outputs/main/gemini-2.5-pro/C1/SC_0014_17.json
SC_0014,C1,42,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:05:12.193205,5,5,False,,,3432,455,0.000525,outputs/main/gemini-2.5-pro/C1/SC_0014_42.json
SC_0014,C1,91,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:05:21.684626,5,5,False,,,3433,307,0.000466,outputs/main/gemini-2.5-pro/C1/SC_0014_91.json
SC_0040,C1,17,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:07:08.116643,12,12,False,,,9942,870,0.001342,outputs/main/gemini-2.5-pro/C1/SC_0040_17.json
SC_0040,C1,42,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:07:34.374860,12,12,False,,,10843,901,0.001445,outputs/main/gemini-2.5-pro/C1/SC_0040_42.json
SC_0040,C1,91,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:07:55.312141,12,12,False,,,11036,967,0.00149,outputs/main/gemini-2.5-pro/C1/SC_0040_91.json
SC_0046,C1,17,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T01:39:19.582330,8,8,False,,,5996,638,0.000855,outputs/main/gemini-2.5-pro/C1/SC_0046_17.json
SC_0046,C1,42,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:11:58.088794,8,8,False,,,5899,572,0.000819,outputs/main/gemini-2.5-pro/C1/SC_0046_42.json
SC_0046,C1,91,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:12:14.594580,8,8,False,,,6043,666,0.000871,outputs/main/gemini-2.5-pro/C1/SC_0046_91.json
SC_0072,C1,17,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:14:03.297937,5,5,False,,,3876,523,0.000597,outputs/main/gemini-2.5-pro/C1/SC_0072_17.json
SC_0072,C1,42,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:14:12.727927,5,5,False,,,3997,395,0.000558,outputs/main/gemini-2.5-pro/C1/SC_0072_42.json
SC_0072,C1,91,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:14:21.875012,5,5,False,,,3708,386,0.000525,outputs/main/gemini-2.5-pro/C1/SC_0072_91.json
SC_0097,C1,17,main,gemini-2.5-pro,gemini-2.5-pro,v1.0,2026-05-16T02:16:42.546722,14,14,False,,,12329,792,0.00155,outputs/main/gemini-2.5-pro/C1/SC_0097_17.json
