dimension,analysis_type,comparison,mean_A,mean_B,mean_diff,cohens_d,cohens_d_ci_lower,cohens_d_ci_upper,test_statistic,p_value,n_scenarios,p_holm,p_bh_fdr,sig_holm_0125,sig_bh_fdr_05
TA1,wilcoxon_paired,C1_vs_C2,4.168,2.485,1.683,4.406,3.538,5.63,0.0,0.0,30,0.0,0.0,True,True
TA1,wilcoxon_paired,C1_vs_C3,4.168,2.835,1.333,3.789,3.06,4.823,0.0,0.0,24,0.0,0.0,True,True
TA1,wilcoxon_paired,C2_vs_C3,2.485,2.835,-0.35,-1.138,-1.776,-0.583,15.5,0.0007,26,0.0,0.0009,True,True
TA1,wilcoxon_paired,C1_vs_C4,4.168,1.523,2.645,7.425,6.203,9.234,0.0,0.0,23,0.0,0.0,True,True
TA1,wilcoxon_paired,C2_vs_C4,2.485,1.523,0.962,2.552,1.907,3.368,0.0,0.0,26,0.0,0.0,True,True
TA1,wilcoxon_paired,C3_vs_C4,2.835,1.523,1.312,3.456,2.7,4.524,0.0,0.0,24,0.0,0.0,True,True
TA2,wilcoxon_paired,C1_vs_C2,3.974,2.775,1.2,3.294,2.496,4.436,0.0,0.0,30,0.0,0.0,True,True
TA2,wilcoxon_paired,C1_vs_C3,3.974,2.495,1.48,3.063,2.358,4.066,0.0,0.0,24,0.0,0.0,True,True
TA2,wilcoxon_paired,C2_vs_C3,2.775,2.495,0.28,0.564,0.023,1.145,47.0,0.0261,26,0.0,0.02763529411764706,True,True
TA2,wilcoxon_paired,C1_vs_C4,3.974,1.785,2.189,5.315,4.267,6.816,0.0,0.0,23,0.0,0.0,True,True
TA2,wilcoxon_paired,C2_vs_C4,2.775,1.785,0.99,2.743,2.146,3.51,0.0,0.0,26,0.0,0.0,True,True
TA2,wilcoxon_paired,C3_vs_C4,2.495,1.785,0.71,1.322,0.804,1.975,24.0,0.0008,24,0.0,0.0009818181818181818,True,True
TA3,wilcoxon_paired,C1_vs_C2,3.801,3.176,0.625,1.336,0.797,2.001,5.5,0.0002,30,0.0,0.00028421052631578947,True,True
TA3,wilcoxon_paired,C1_vs_C3,3.801,2.804,0.997,2.487,1.878,3.33,0.0,0.0,24,0.0,0.0,True,True
TA3,wilcoxon_paired,C2_vs_C3,3.176,2.804,0.372,0.837,0.276,1.432,33.0,0.0036,26,0.0,0.004136170212765957,True,True
TA3,wilcoxon_paired,C1_vs_C4,3.801,1.935,1.866,4.222,3.317,5.547,0.0,0.0,23,0.0,0.0,True,True
TA3,wilcoxon_paired,C2_vs_C4,3.176,1.935,1.241,3.35,2.391,4.864,0.0,0.0,26,0.0,0.0,True,True
TA3,wilcoxon_paired,C3_vs_C4,2.804,1.935,0.869,2.604,1.899,3.6,0.0,0.0,24,0.0,0.0,True,True
TA4,wilcoxon_paired,C1_vs_C2,3.929,3.358,0.571,1.378,0.846,2.002,15.0,0.0001,30,0.0,0.00014594594594594595,True,True
TA4,wilcoxon_paired,C1_vs_C3,3.929,2.594,1.334,3.241,2.441,4.335,0.0,0.0,24,0.0,0.0,True,True
TA4,wilcoxon_paired,C2_vs_C3,3.358,2.594,0.764,2.019,1.408,2.79,4.5,0.0001,26,0.0,0.00014594594594594595,True,True
TA4,wilcoxon_paired,C1_vs_C4,3.929,2.09,1.839,4.914,3.737,6.794,0.0,0.0,23,0.0,0.0,True,True
TA4,wilcoxon_paired,C2_vs_C4,3.358,2.09,1.268,3.242,2.455,4.382,0.0,0.0,26,0.0,0.0,True,True
TA4,wilcoxon_paired,C3_vs_C4,2.594,2.09,0.504,1.143,0.561,1.879,20.5,0.0021,24,0.0,0.0025199999999999997,True,True
SS1,wilcoxon_paired,C1_vs_C2,2.76,4.147,-1.387,-3.403,-4.388,-2.634,0.0,0.0,30,0.0,0.0,True,True
SS1,wilcoxon_paired,C1_vs_C3,2.76,2.511,0.249,1.083,0.496,1.841,21.0,0.008,24,0.0,0.009,True,True
SS1,wilcoxon_paired,C2_vs_C3,4.147,2.511,1.636,4.37,3.455,5.715,0.0,0.0,26,0.0,0.0,True,True
SS1,wilcoxon_paired,C1_vs_C4,2.76,1.783,0.977,2.657,2.067,3.372,0.0,0.0001,23,0.0,0.00014594594594594595,True,True
SS1,wilcoxon_paired,C2_vs_C4,4.147,1.783,2.364,7.264,6.124,8.905,0.0,0.0,26,0.0,0.0,True,True
