dimension,type,n_items,n_raters,icc_2k,icc_ci_lower,icc_ci_upper,krippendorff_alpha,go_criterion_met,note
TA1,ordinal_rating,240,2,0.8371,0.79,0.87,0.7298,True,
TA2,ordinal_rating,240,2,0.8249,0.77,0.86,0.7044,True,
TA3,ordinal_rating,240,2,0.747,0.67,0.8,0.618,True,
TA4,ordinal_rating,240,2,0.7649,0.7,0.82,0.6398,True,
SS1,ordinal_rating,240,2,0.836,0.79,0.87,0.7084,True,
SS2,ordinal_rating,240,2,0.8831,0.85,0.91,0.6878,True,
SS3,ordinal_rating,240,2,0.7425,0.67,0.8,0.5678,True,
SS4,ordinal_rating,240,2,0.8186,0.77,0.86,0.6497,True,
SS5,ordinal_rating,240,2,0.822,0.77,0.86,0.6607,True,
use_case_decision,nominal_kappa,240,2,,,,0.5031,False,Cohen κ (2 raters)
flag_premature_expertise,binary_fleiss_kappa,240,2,,,,0.1587,False,Fleiss κ (binary)
flag_role_drift,binary_fleiss_kappa,240,2,,,,0.0587,False,Fleiss κ (binary)
flag_over_technical,binary_fleiss_kappa,240,2,,,,-0.0458,False,Fleiss κ (binary)
flag_misconception_loss,binary_fleiss_kappa,240,2,,,,0.1987,False,Fleiss κ (binary)
flag_logical_inconsistency,binary_fleiss_kappa,240,2,,,,-0.0242,False,Fleiss κ (binary)
flag_unsupported_reasoning,binary_fleiss_kappa,240,2,,,,0.16,False,Fleiss κ (binary)
