split_col,split_val,dimension,comparison,n_scenarios,mean_diff,p_value,direction,sig_p05
topic,multi_step,TA1,C1_vs_C2,4,,,,False
topic,multi_step,TA1,C1_vs_C3,4,,,,False
topic,multi_step,TA1,C2_vs_C3,6,-0.5,0.125,B>A,False
topic,multi_step,TA1,C1_vs_C4,4,,,,False
topic,multi_step,TA1,C2_vs_C4,5,0.917,0.0625,A>B,False
topic,multi_step,TA2,C1_vs_C2,4,,,,False
topic,multi_step,TA2,C1_vs_C3,4,,,,False
topic,multi_step,TA2,C2_vs_C3,6,0.292,0.3125,A>B,False
topic,multi_step,TA2,C1_vs_C4,4,,,,False
topic,multi_step,TA2,C2_vs_C4,5,0.85,0.0625,A>B,False
topic,multi_step,TA3,C1_vs_C2,4,,,,False
topic,multi_step,TA3,C1_vs_C3,4,,,,False
topic,multi_step,TA3,C2_vs_C3,6,0.208,0.25,A>B,False
topic,multi_step,TA3,C1_vs_C4,4,,,,False
topic,multi_step,TA3,C2_vs_C4,5,1.1,0.0625,A>B,False
topic,multi_step,TA4,C1_vs_C2,4,,,,False
topic,multi_step,TA4,C1_vs_C3,4,,,,False
topic,multi_step,TA4,C2_vs_C3,6,0.75,0.0625,A>B,False
topic,multi_step,TA4,C1_vs_C4,4,,,,False
topic,multi_step,TA4,C2_vs_C4,5,1.15,0.0625,A>B,False
topic,multi_step,SS1,C1_vs_C2,4,,,,False
topic,multi_step,SS1,C1_vs_C3,4,,,,False
topic,multi_step,SS1,C2_vs_C3,6,1.875,0.0312,A>B,True
topic,multi_step,SS1,C1_vs_C4,4,,,,False
topic,multi_step,SS1,C2_vs_C4,5,2.417,0.0625,A>B,False
topic,multi_step,SS2,C1_vs_C2,4,,,,False
topic,multi_step,SS2,C1_vs_C3,4,,,,False
topic,multi_step,SS2,C2_vs_C3,6,1.917,0.0312,A>B,True
topic,multi_step,SS2,C1_vs_C4,4,,,,False
topic,multi_step,SS2,C2_vs_C4,5,2.667,0.0625,A>B,False
topic,multi_step,SS3,C1_vs_C2,4,,,,False
topic,multi_step,SS3,C1_vs_C3,4,,,,False
topic,multi_step,SS3,C2_vs_C3,6,1.75,0.0312,A>B,True
topic,multi_step,SS3,C1_vs_C4,4,,,,False
topic,multi_step,SS3,C2_vs_C4,5,2.333,0.0625,A>B,False
topic,multi_step,SS4,C1_vs_C2,4,,,,False
topic,multi_step,SS4,C1_vs_C3,4,,,,False
topic,multi_step,SS4,C2_vs_C3,6,1.875,0.0312,A>B,True
topic,multi_step,SS4,C1_vs_C4,4,,,,False
topic,multi_step,SS4,C2_vs_C4,5,2.1,0.0625,A>B,False
topic,multi_step,SS5,C1_vs_C2,4,,,,False
topic,multi_step,SS5,C1_vs_C3,4,,,,False
topic,multi_step,SS5,C2_vs_C3,6,1.917,0.0312,A>B,True
topic,multi_step,SS5,C1_vs_C4,4,,,,False
topic,multi_step,SS5,C2_vs_C4,5,2.583,0.0625,A>B,False
topic,fractions,TA1,C1_vs_C2,5,1.6,0.0625,A>B,False
topic,fractions,TA1,C1_vs_C3,6,1.514,0.0312,A>B,True
topic,fractions,TA1,C2_vs_C3,5,-0.05,1.0,B>A,False
topic,fractions,TA1,C1_vs_C4,5,2.3,0.0625,A>B,False
topic,fractions,TA1,C2_vs_C4,4,,,,False
topic,fractions,TA2,C1_vs_C2,5,1.0,0.0625,A>B,False
topic,fractions,TA2,C1_vs_C3,6,1.0,0.0625,A>B,False
topic,fractions,TA2,C2_vs_C3,5,0.45,0.4375,A>B,False
topic,fractions,TA2,C1_vs_C4,5,2.0,0.0625,A>B,False
topic,fractions,TA2,C2_vs_C4,4,,,,False
topic,fractions,TA3,C1_vs_C2,5,0.4,0.25,A>B,False
topic,fractions,TA3,C1_vs_C3,6,0.792,0.0312,A>B,True
topic,fractions,TA3,C2_vs_C3,5,0.4,0.375,A>B,False
topic,fractions,TA3,C1_vs_C4,5,1.85,0.0625,A>B,False
topic,fractions,TA3,C2_vs_C4,4,,,,False
topic,fractions,TA4,C1_vs_C2,5,0.15,0.6875,A>B,False
topic,fractions,TA4,C1_vs_C3,6,1.278,0.0625,A>B,False
topic,fractions,TA4,C2_vs_C3,5,1.5,0.0625,A>B,False
topic,fractions,TA4,C1_vs_C4,5,1.7,0.0625,A>B,False
topic,fractions,TA4,C2_vs_C4,4,,,,False
topic,fractions,SS1,C1_vs_C2,5,-1.2,0.0625,B>A,False
topic,fractions,SS1,C1_vs_C3,6,0.292,0.625,A>B,False
topic,fractions,SS1,C2_vs_C3,5,1.6,0.0625,A>B,False
topic,fractions,SS1,C1_vs_C4,5,1.15,0.0625,A>B,False
topic,fractions,SS1,C2_vs_C4,4,,,,False
topic,fractions,SS2,C1_vs_C2,5,-1.8,0.0625,B>A,False
topic,fractions,SS2,C1_vs_C3,6,0.097,0.5,A>B,False
topic,fractions,SS2,C2_vs_C3,5,1.85,0.0625,A>B,False
topic,fractions,SS2,C1_vs_C4,5,0.75,0.0625,A>B,False
topic,fractions,SS2,C2_vs_C4,4,,,,False
topic,fractions,SS3,C1_vs_C2,5,-1.25,0.0625,B>A,False
topic,fractions,SS3,C1_vs_C3,6,0.139,0.6875,A>B,False
topic,fractions,SS3,C2_vs_C3,5,1.5,1.0,=,False
topic,fractions,SS3,C1_vs_C4,5,0.85,0.0625,A>B,False
topic,fractions,SS3,C2_vs_C4,4,,,,False
topic,fractions,SS4,C1_vs_C2,5,-1.7,0.0625,B>A,False
topic,fractions,SS4,C1_vs_C3,6,-0.056,0.875,B>A,False
topic,fractions,SS4,C2_vs_C3,5,1.8,0.0625,A>B,False
topic,fractions,SS4,C1_vs_C4,5,0.7,0.125,A>B,False
topic,fractions,SS4,C2_vs_C4,4,,,,False
topic,fractions,SS5,C1_vs_C2,5,-1.95,0.0625,B>A,False
topic,fractions,SS5,C1_vs_C3,6,-0.125,1.0,B>A,False
topic,fractions,SS5,C2_vs_C3,5,2.0,0.0625,A>B,False
topic,fractions,SS5,C1_vs_C4,5,0.6,0.125,A>B,False
topic,fractions,SS5,C2_vs_C4,4,,,,False
topic,arithmetic,TA1,C1_vs_C2,15,1.65,0.0006,A>B,True
topic,arithmetic,TA1,C1_vs_C3,8,1.156,0.0156,A>B,True
topic,arithmetic,TA1,C2_vs_C3,11,-0.568,0.0078,B>A,True
topic,arithmetic,TA1,C1_vs_C4,11,2.477,0.001,A>B,True
topic,arithmetic,TA1,C2_vs_C4,13,1.154,0.0002,A>B,True
topic,arithmetic,TA2,C1_vs_C2,15,1.267,0.0006,A>B,True
topic,arithmetic,TA2,C1_vs_C3,8,1.531,0.0078,A>B,True
topic,arithmetic,TA2,C2_vs_C3,11,0.182,0.1406,A>B,False
topic,arithmetic,TA2,C1_vs_C4,11,2.227,0.001,A>B,True
topic,arithmetic,TA2,C2_vs_C4,13,1.173,0.0002,A>B,True
topic,arithmetic,TA3,C1_vs_C2,15,0.367,0.0193,A>B,True
topic,arithmetic,TA3,C1_vs_C3,8,0.875,0.0312,A>B,True
topic,arithmetic,TA3,C2_vs_C3,11,0.273,0.1289,A>B,False
topic,arithmetic,TA3,C1_vs_C4,11,1.75,0.001,A>B,True
topic,arithmetic,TA3,C2_vs_C4,13,1.135,0.0005,A>B,True
topic,arithmetic,TA4,C1_vs_C2,15,0.65,0.0018,A>B,True
topic,arithmetic,TA4,C1_vs_C3,8,1.156,0.0078,A>B,True
topic,arithmetic,TA4,C2_vs_C3,11,0.614,0.0156,A>B,True
topic,arithmetic,TA4,C1_vs_C4,11,2.114,0.001,A>B,True
topic,arithmetic,TA4,C2_vs_C4,13,1.365,0.0002,A>B,True
topic,arithmetic,SS1,C1_vs_C2,15,-1.167,0.0006,B>A,True
topic,arithmetic,SS1,C1_vs_C3,8,0.469,0.0625,A>B,False
topic,arithmetic,SS1,C2_vs_C3,11,1.591,0.001,A>B,True
topic,arithmetic,SS1,C1_vs_C4,11,0.886,0.002,A>B,True
topic,arithmetic,SS1,C2_vs_C4,13,2.423,0.0002,A>B,True
topic,arithmetic,SS2,C1_vs_C2,15,-2.517,0.0006,B>A,True
topic,arithmetic,SS2,C1_vs_C3,8,0.125,0.6875,A>B,False
topic,arithmetic,SS2,C2_vs_C3,11,2.568,0.001,A>B,True
topic,arithmetic,SS2,C1_vs_C4,11,0.477,0.0371,A>B,True
topic,arithmetic,SS2,C2_vs_C4,13,2.635,0.0002,A>B,True
topic,arithmetic,SS3,C1_vs_C2,15,-1.467,0.0006,B>A,True
topic,arithmetic,SS3,C1_vs_C3,8,0.344,0.1875,A>B,False
topic,arithmetic,SS3,C2_vs_C3,11,1.636,0.001,A>B,True
topic,arithmetic,SS3,C1_vs_C4,11,0.591,0.0234,A>B,True
topic,arithmetic,SS3,C2_vs_C4,13,2.058,0.0002,A>B,True
topic,arithmetic,SS4,C1_vs_C2,15,-1.917,0.0006,B>A,True
topic,arithmetic,SS4,C1_vs_C3,8,-0.188,0.6875,B>A,False
topic,arithmetic,SS4,C2_vs_C3,11,1.75,0.001,A>B,True
topic,arithmetic,SS4,C1_vs_C4,11,0.614,0.0273,A>B,True
topic,arithmetic,SS4,C2_vs_C4,13,2.577,0.0002,A>B,True
topic,arithmetic,SS5,C1_vs_C2,15,-1.5,0.0006,B>A,True
topic,arithmetic,SS5,C1_vs_C3,8,0.281,0.25,A>B,False
topic,arithmetic,SS5,C2_vs_C3,11,2.045,0.001,A>B,True
topic,arithmetic,SS5,C1_vs_C4,11,0.705,0.0039,A>B,True
topic,arithmetic,SS5,C2_vs_C4,13,2.615,0.0002,A>B,True
topic,geometry,TA1,C1_vs_C2,2,,,,False
topic,geometry,TA1,C1_vs_C3,1,,,,False
topic,geometry,TA1,C2_vs_C3,1,,,,False
topic,geometry,TA1,C1_vs_C4,1,,,,False
topic,geometry,TA1,C2_vs_C4,2,,,,False
topic,geometry,TA2,C1_vs_C2,2,,,,False
topic,geometry,TA2,C1_vs_C3,1,,,,False
topic,geometry,TA2,C2_vs_C3,1,,,,False
topic,geometry,TA2,C1_vs_C4,1,,,,False
topic,geometry,TA2,C2_vs_C4,2,,,,False
topic,geometry,TA3,C1_vs_C2,2,,,,False
topic,geometry,TA3,C1_vs_C3,1,,,,False
topic,geometry,TA3,C2_vs_C3,1,,,,False
topic,geometry,TA3,C1_vs_C4,1,,,,False
topic,geometry,TA3,C2_vs_C4,2,,,,False
topic,geometry,TA4,C1_vs_C2,2,,,,False
topic,geometry,TA4,C1_vs_C3,1,,,,False
topic,geometry,TA4,C2_vs_C3,1,,,,False
topic,geometry,TA4,C1_vs_C4,1,,,,False
topic,geometry,TA4,C2_vs_C4,2,,,,False
topic,geometry,SS1,C1_vs_C2,2,,,,False
topic,geometry,SS1,C1_vs_C3,1,,,,False
topic,geometry,SS1,C2_vs_C3,1,,,,False
topic,geometry,SS1,C1_vs_C4,1,,,,False
topic,geometry,SS1,C2_vs_C4,2,,,,False
topic,geometry,SS2,C1_vs_C2,2,,,,False
topic,geometry,SS2,C1_vs_C3,1,,,,False
topic,geometry,SS2,C2_vs_C3,1,,,,False
topic,geometry,SS2,C1_vs_C4,1,,,,False
topic,geometry,SS2,C2_vs_C4,2,,,,False
topic,geometry,SS3,C1_vs_C2,2,,,,False
topic,geometry,SS3,C1_vs_C3,1,,,,False
topic,geometry,SS3,C2_vs_C3,1,,,,False
topic,geometry,SS3,C1_vs_C4,1,,,,False
topic,geometry,SS3,C2_vs_C4,2,,,,False
topic,geometry,SS4,C1_vs_C2,2,,,,False
topic,geometry,SS4,C1_vs_C3,1,,,,False
topic,geometry,SS4,C2_vs_C3,1,,,,False
topic,geometry,SS4,C1_vs_C4,1,,,,False
topic,geometry,SS4,C2_vs_C4,2,,,,False
topic,geometry,SS5,C1_vs_C2,2,,,,False
topic,geometry,SS5,C1_vs_C3,1,,,,False
topic,geometry,SS5,C2_vs_C3,1,,,,False
topic,geometry,SS5,C1_vs_C4,1,,,,False
topic,geometry,SS5,C2_vs_C4,2,,,,False
topic,percentages,TA1,C1_vs_C2,4,,,,False
topic,percentages,TA1,C1_vs_C3,5,1.3,0.0625,A>B,False
topic,percentages,TA1,C2_vs_C3,3,,,,False
topic,percentages,TA1,C1_vs_C4,2,,,,False
topic,percentages,TA1,C2_vs_C4,2,,,,False
topic,percentages,TA2,C1_vs_C2,4,,,,False
topic,percentages,TA2,C1_vs_C3,5,1.75,0.0625,A>B,False
topic,percentages,TA2,C2_vs_C3,3,,,,False
topic,percentages,TA2,C1_vs_C4,2,,,,False
topic,percentages,TA2,C2_vs_C4,2,,,,False
topic,percentages,TA3,C1_vs_C2,4,,,,False
topic,percentages,TA3,C1_vs_C3,5,1.4,0.0625,A>B,False
topic,percentages,TA3,C2_vs_C3,3,,,,False
topic,percentages,TA3,C1_vs_C4,2,,,,False
topic,percentages,TA3,C2_vs_C4,2,,,,False
topic,percentages,TA4,C1_vs_C2,4,,,,False
topic,percentages,TA4,C1_vs_C3,5,1.25,0.0625,A>B,False
topic,percentages,TA4,C2_vs_C3,3,,,,False
topic,percentages,TA4,C1_vs_C4,2,,,,False
topic,percentages,TA4,C2_vs_C4,2,,,,False
topic,percentages,SS1,C1_vs_C2,4,,,,False
topic,percentages,SS1,C1_vs_C3,5,0.25,0.625,A>B,False
topic,percentages,SS1,C2_vs_C3,3,,,,False
topic,percentages,SS1,C1_vs_C4,2,,,,False
topic,percentages,SS1,C2_vs_C4,2,,,,False
topic,percentages,SS2,C1_vs_C2,4,,,,False
topic,percentages,SS2,C1_vs_C3,5,0.1,0.75,A>B,False
topic,percentages,SS2,C2_vs_C3,3,,,,False
topic,percentages,SS2,C1_vs_C4,2,,,,False
topic,percentages,SS2,C2_vs_C4,2,,,,False
topic,percentages,SS3,C1_vs_C2,4,,,,False
topic,percentages,SS3,C1_vs_C3,5,-0.05,1.0,B>A,False
topic,percentages,SS3,C2_vs_C3,3,,,,False
topic,percentages,SS3,C1_vs_C4,2,,,,False
topic,percentages,SS3,C2_vs_C4,2,,,,False
topic,percentages,SS4,C1_vs_C2,4,,,,False
topic,percentages,SS4,C1_vs_C3,5,-0.25,0.75,B>A,False
topic,percentages,SS4,C2_vs_C3,3,,,,False
topic,percentages,SS4,C1_vs_C4,2,,,,False
topic,percentages,SS4,C2_vs_C4,2,,,,False
topic,percentages,SS5,C1_vs_C2,4,,,,False
topic,percentages,SS5,C1_vs_C3,5,0.6,0.125,A>B,False
topic,percentages,SS5,C2_vs_C3,3,,,,False
topic,percentages,SS5,C1_vs_C4,2,,,,False
topic,percentages,SS5,C2_vs_C4,2,,,,False
error_type,miscellaneous,TA1,C1_vs_C2,17,1.676,0.0003,A>B,True
error_type,miscellaneous,TA1,C1_vs_C3,15,1.322,0.001,A>B,True
error_type,miscellaneous,TA1,C2_vs_C3,15,-0.433,0.017,B>A,True
error_type,miscellaneous,TA1,C1_vs_C4,11,2.591,0.001,A>B,True
error_type,miscellaneous,TA1,C2_vs_C4,13,1.045,0.0005,A>B,True
error_type,miscellaneous,TA2,C1_vs_C2,17,1.206,0.0003,A>B,True
error_type,miscellaneous,TA2,C1_vs_C3,15,1.433,0.0009,A>B,True
error_type,miscellaneous,TA2,C2_vs_C3,15,0.217,0.1672,A>B,False
error_type,miscellaneous,TA2,C1_vs_C4,11,2.25,0.001,A>B,True
error_type,miscellaneous,TA2,C2_vs_C4,13,1.058,0.0005,A>B,True
error_type,miscellaneous,TA3,C1_vs_C2,17,0.485,0.0031,A>B,True
error_type,miscellaneous,TA3,C1_vs_C3,15,1.017,0.0009,A>B,True
error_type,miscellaneous,TA3,C2_vs_C3,15,0.3,0.0684,A>B,False
error_type,miscellaneous,TA3,C1_vs_C4,11,1.75,0.001,A>B,True
error_type,miscellaneous,TA3,C2_vs_C4,13,1.288,0.0005,A>B,True
error_type,miscellaneous,TA4,C1_vs_C2,17,0.544,0.0017,A>B,True
error_type,miscellaneous,TA4,C1_vs_C3,15,1.444,0.0006,A>B,True
error_type,miscellaneous,TA4,C2_vs_C3,15,1.05,0.0028,A>B,True
error_type,miscellaneous,TA4,C1_vs_C4,11,2.136,0.001,A>B,True
error_type,miscellaneous,TA4,C2_vs_C4,13,1.212,0.0002,A>B,True
error_type,miscellaneous,SS1,C1_vs_C2,17,-1.176,0.0003,B>A,True
error_type,miscellaneous,SS1,C1_vs_C3,15,0.4,0.0443,A>B,True
error_type,miscellaneous,SS1,C2_vs_C3,15,1.583,0.0006,A>B,True
error_type,miscellaneous,SS1,C1_vs_C4,11,1.045,0.002,A>B,True
error_type,miscellaneous,SS1,C2_vs_C4,13,2.506,0.0002,A>B,True
error_type,miscellaneous,SS2,C1_vs_C2,17,-2.279,0.0003,B>A,True
error_type,miscellaneous,SS2,C1_vs_C3,15,0.172,0.0875,A>B,False
error_type,miscellaneous,SS2,C2_vs_C3,15,2.4,0.0006,A>B,True
error_type,miscellaneous,SS2,C1_vs_C4,11,0.545,0.0215,A>B,True
error_type,miscellaneous,SS2,C2_vs_C4,13,2.583,0.0002,A>B,True
error_type,miscellaneous,SS3,C1_vs_C2,17,-1.368,0.0003,B>A,True
error_type,miscellaneous,SS3,C1_vs_C3,15,-0.061,0.4984,B>A,False
error_type,miscellaneous,SS3,C2_vs_C3,15,1.567,0.0005,A>B,True
error_type,miscellaneous,SS3,C1_vs_C4,11,0.455,0.0234,A>B,True
error_type,miscellaneous,SS3,C2_vs_C4,13,1.936,0.0002,A>B,True
error_type,miscellaneous,SS4,C1_vs_C2,17,-1.765,0.0003,B>A,True
error_type,miscellaneous,SS4,C1_vs_C3,15,-0.139,0.7772,B>A,False
error_type,miscellaneous,SS4,C2_vs_C3,15,1.633,0.0006,A>B,True
error_type,miscellaneous,SS4,C1_vs_C4,11,0.636,0.0234,A>B,True
error_type,miscellaneous,SS4,C2_vs_C4,13,2.462,0.0002,A>B,True
error_type,miscellaneous,SS5,C1_vs_C2,17,-1.515,0.0003,B>A,True
error_type,miscellaneous,SS5,C1_vs_C3,15,0.4,0.04,A>B,True
error_type,miscellaneous,SS5,C2_vs_C3,15,2.05,0.0006,A>B,True
error_type,miscellaneous,SS5,C1_vs_C4,11,0.773,0.0039,A>B,True
error_type,miscellaneous,SS5,C2_vs_C4,13,2.59,0.0002,A>B,True
error_type,procedural_slip,TA1,C1_vs_C2,10,1.525,0.002,A>B,True
error_type,procedural_slip,TA1,C1_vs_C3,7,1.429,0.0156,A>B,True
error_type,procedural_slip,TA1,C2_vs_C3,9,-0.472,0.0312,B>A,True
error_type,procedural_slip,TA1,C1_vs_C4,8,2.375,0.0078,A>B,True
error_type,procedural_slip,TA1,C2_vs_C4,9,0.917,0.0039,A>B,True
error_type,procedural_slip,TA2,C1_vs_C2,10,1.075,0.0039,A>B,True
error_type,procedural_slip,TA2,C1_vs_C3,7,1.5,0.0156,A>B,True
error_type,procedural_slip,TA2,C2_vs_C3,9,0.389,0.0312,A>B,True
error_type,procedural_slip,TA2,C1_vs_C4,8,2.125,0.0078,A>B,True
error_type,procedural_slip,TA2,C2_vs_C4,9,1.167,0.0039,A>B,True
error_type,procedural_slip,TA3,C1_vs_C2,10,0.4,0.0781,A>B,False
error_type,procedural_slip,TA3,C1_vs_C3,7,0.821,0.0312,A>B,True
error_type,procedural_slip,TA3,C2_vs_C3,9,0.389,0.0234,A>B,True
error_type,procedural_slip,TA3,C1_vs_C4,8,1.625,0.0078,A>B,True
error_type,procedural_slip,TA3,C2_vs_C4,9,1.167,0.0039,A>B,True
error_type,procedural_slip,TA4,C1_vs_C2,10,0.4,0.0938,A>B,False
error_type,procedural_slip,TA4,C1_vs_C3,7,0.857,0.0312,A>B,True
error_type,procedural_slip,TA4,C2_vs_C3,9,0.5,0.0156,A>B,True
error_type,procedural_slip,TA4,C1_vs_C4,8,1.594,0.0078,A>B,True
error_type,procedural_slip,TA4,C2_vs_C4,9,1.028,0.0078,A>B,True
error_type,procedural_slip,SS1,C1_vs_C2,10,-1.3,0.002,B>A,True
error_type,procedural_slip,SS1,C1_vs_C3,7,0.286,0.25,A>B,False
error_type,procedural_slip,SS1,C2_vs_C3,9,1.694,0.0039,A>B,True
error_type,procedural_slip,SS1,C1_vs_C4,8,0.938,0.0078,A>B,True
error_type,procedural_slip,SS1,C2_vs_C4,9,2.333,0.0039,A>B,True
error_type,procedural_slip,SS2,C1_vs_C2,10,-2.375,0.002,B>A,True
error_type,procedural_slip,SS2,C1_vs_C3,7,-0.107,0.625,B>A,False
error_type,procedural_slip,SS2,C2_vs_C3,9,2.111,0.0039,A>B,True
error_type,procedural_slip,SS2,C1_vs_C4,8,0.469,0.0312,A>B,True
error_type,procedural_slip,SS2,C2_vs_C4,9,2.611,0.0039,A>B,True
error_type,procedural_slip,SS3,C1_vs_C2,10,-1.3,0.0059,B>A,True
error_type,procedural_slip,SS3,C1_vs_C3,7,0.464,0.0625,A>B,False
error_type,procedural_slip,SS3,C2_vs_C3,9,1.694,0.0039,A>B,True
error_type,procedural_slip,SS3,C1_vs_C4,8,0.812,0.0625,A>B,False
error_type,procedural_slip,SS3,C2_vs_C4,9,2.0,0.0039,A>B,True
error_type,procedural_slip,SS4,C1_vs_C2,10,-1.95,0.002,B>A,True
error_type,procedural_slip,SS4,C1_vs_C3,7,0.036,1.0,A>B,False
error_type,procedural_slip,SS4,C2_vs_C3,9,1.833,0.0039,A>B,True
error_type,procedural_slip,SS4,C1_vs_C4,8,0.656,0.0312,A>B,True
error_type,procedural_slip,SS4,C2_vs_C4,9,2.556,0.0039,A>B,True
error_type,procedural_slip,SS5,C1_vs_C2,10,-1.65,0.002,B>A,True
error_type,procedural_slip,SS5,C1_vs_C3,7,0.214,0.75,A>B,False
error_type,procedural_slip,SS5,C2_vs_C3,9,1.611,0.0039,A>B,True
error_type,procedural_slip,SS5,C1_vs_C4,8,0.906,0.0078,A>B,True
error_type,procedural_slip,SS5,C2_vs_C4,9,2.639,0.0039,A>B,True
error_type,conceptual_misconception,TA1,C1_vs_C2,0,,,,False
error_type,conceptual_misconception,TA1,C1_vs_C3,0,,,,False
error_type,conceptual_misconception,TA1,C2_vs_C3,0,,,,False
error_type,conceptual_misconception,TA1,C1_vs_C4,1,,,,False
error_type,conceptual_misconception,TA1,C2_vs_C4,1,,,,False
error_type,conceptual_misconception,TA2,C1_vs_C2,0,,,,False
error_type,conceptual_misconception,TA2,C1_vs_C3,0,,,,False
error_type,conceptual_misconception,TA2,C2_vs_C3,0,,,,False
error_type,conceptual_misconception,TA2,C1_vs_C4,1,,,,False
error_type,conceptual_misconception,TA2,C2_vs_C4,1,,,,False
