packet_id,true_condition,scenario_id,resolved_use_case
00EAC513,C4,SC_1994,reject
01A229F8,C1,SC_1691,learning_by_teaching
0298B245,C4,SC_1030,reject
02F1F0F5,C1,SC_0072,learning_by_teaching
08000100,C4,SC_0014,reject
081E2625,C2,SC_2029,feedback_policy_testing
087873CC,C4,SC_0946,reject
0916C27B,C1,SC_0192,learning_by_teaching
097B3192,C3,SC_0040,feedback_policy_testing
0AE5017E,C1,SC_0800,learning_by_teaching
0E7861EA,C2,SC_1959,diagnostic_simulation
112FDEF8,C3,SC_0570,reject
11E4DA7D,C2,SC_1181,diagnostic_simulation
11FCABD1,C1,SC_1340,learning_by_teaching
1224199B,C3,SC_0725,reject
1397E370,C2,SC_1820,diagnostic_simulation
139C2C1A,C3,SC_2108,reject
15A3FC04,C2,SC_0448,diagnostic_simulation
1643C261,C3,SC_0097,reject
1B6411CC,C3,SC_2147,reject
1C1B3D8C,C3,SC_0243,reject
1C87A4F8,C2,SC_0505,learning_by_teaching
1CF3A303,C1,SC_1082,learning_by_teaching
1D1CA75A,C3,SC_0746,reject
212818D3,C3,SC_1572,reject
2169774A,C2,SC_1281,diagnostic_simulation
21BB8787,C3,SC_1993,feedback_policy_testing
2216A0DB,C2,SC_0505,diagnostic_simulation
22AEA8DB,C4,SC_0292,reject
23798735,C2,SC_0222,diagnostic_simulation
2434C5BA,C1,SC_0900,reject
25D683AE,C2,SC_1572,diagnostic_simulation
25F84836,C1,SC_0409,learning_by_teaching
2647657B,C3,SC_1527,learning_by_teaching
26992547,C3,SC_1974,feedback_policy_testing
29298041,C2,SC_0097,diagnostic_simulation
29AC5F26,C4,SC_1786,reject
2A84F0AC,C3,SC_0132,reject
2FA3F03E,C3,SC_0097,feedback_policy_testing
30B00438,C1,SC_0014,learning_by_teaching
312A6584,C1,SC_0570,learning_by_teaching
319D1337,C1,SC_1340,learning_by_teaching
320EECA9,C1,SC_0407,learning_by_teaching
332046AB,C3,SC_1036,reject
35CEC58A,C3,SC_0292,reject
379B9BD2,C4,SC_1314,reject
3A421D87,C1,SC_0946,learning_by_teaching
3A9F282F,C4,SC_0222,learning_by_teaching
3DE91ED6,C1,SC_1527,feedback_policy_testing
4220C048,C4,SC_0809,reject
438DA5A0,C4,SC_0795,reject
44007361,C1,SC_0040,learning_by_teaching
44A64BC5,C2,SC_1486,diagnostic_simulation
45C9D561,C1,SC_1470,learning_by_teaching
45E985D6,C4,SC_0097,reject
4643EDDF,C2,SC_0900,diagnostic_simulation
47147FDE,C2,SC_0746,learning_by_teaching
485A0AF1,C3,SC_0265,reject
48D67148,C2,SC_0688,feedback_policy_testing
49620023,C3,SC_1026,reject
4BD9B41E,C2,SC_1515,diagnostic_simulation
4C46EF25,C1,SC_1363,learning_by_teaching
4D65B8D8,C2,SC_1817,learning_by_teaching
4E0E2EA7,C4,SC_2074,reject
5001A7F4,C1,SC_2147,learning_by_teaching
515C810D,C4,SC_0072,reject
5356495E,C2,SC_1994,diagnostic_simulation
5499654D,C3,SC_2147,reject
556CCEB5,C1,SC_1250,learning_by_teaching
567E1DE2,C3,SC_0265,diagnostic_simulation
56809D42,C3,SC_0014,reject
56E873AC,C2,SC_1993,reject
571119CC,C4,SC_1804,reject
575B8778,C3,SC_1876,reject
5A766989,C1,SC_1959,learning_by_teaching
5BBDD66C,C2,SC_0946,diagnostic_simulation
5C17978B,C2,SC_1082,diagnostic_simulation
5E079250,C2,SC_1515,diagnostic_simulation
5E1B7D5C,C2,SC_2074,diagnostic_simulation
6066ED1E,C2,SC_0040,diagnostic_simulation
60758417,C3,SC_0353,reject
6148DB46,C4,SC_1278,reject
61AF009B,C1,SC_1358,learning_by_teaching
627D94BC,C4,SC_0557,reject
63AD6018,C3,SC_1527,diagnostic_simulation
64089044,C1,SC_1358,diagnostic_simulation
657A6CA2,C2,SC_1314,diagnostic_simulation
65E4443E,C1,SC_1919,learning_by_teaching
66A5797E,C2,SC_0132,diagnostic_simulation
66D42E9E,C3,SC_0407,reject
670FE8BF,C4,SC_0409,reject
67364284,C4,SC_0014,reject
6A173111,C2,SC_0809,diagnostic_simulation
6A188171,C3,SC_0123,reject
6A3E0D42,C3,SC_0123,reject
6B50A3B3,C2,SC_2231,diagnostic_simulation
6B95C3D6,C3,SC_2231,reject
6D1E1C34,C4,SC_0487,reject
6E5F5998,C3,SC_0407,diagnostic_simulation
72CDC31F,C4,SC_1036,reject
741A3EBB,C3,SC_0605,learning_by_teaching
74C24D85,C4,SC_0292,reject
767A7C4A,C4,SC_1036,reject
7812958F,C4,SC_1994,reject
7977F25F,C1,SC_0448,learning_by_teaching
7B83E1D5,C3,SC_0900,reject
7BBE6DEA,C3,SC_0192,reject
7C1FDDFC,C4,SC_2231,reject
7CE818FE,C1,SC_1260,learning_by_teaching
7CFBDAB6,C3,SC_0570,reject
7D4509ED,C4,SC_1358,reject
7D9A5342,C1,SC_2108,learning_by_teaching
7E303054,C1,SC_0409,learning_by_teaching
81BA8D17,C3,SC_1429,reject
82D812B0,C1,SC_1281,learning_by_teaching
82F4A506,C4,SC_0195,reject
85061886,C2,SC_1925,diagnostic_simulation
860B083C,C4,SC_1927,reject
8720A52F,C2,SC_1994,diagnostic_simulation
876A9932,C2,SC_1691,diagnostic_simulation
87759B79,C4,SC_0921,reject
8835FE0C,C1,SC_1925,learning_by_teaching
895CF115,C2,SC_1119,diagnostic_simulation
899EA680,C2,SC_1416,diagnostic_simulation
89E80DC2,C1,SC_0996,learning_by_teaching
8A194B02,C2,SC_1523,diagnostic_simulation
8A7ECE2E,C2,SC_1363,diagnostic_simulation
8AC8571B,C1,SC_0192,learning_by_teaching
8C0F6651,C1,SC_1429,learning_by_teaching
8DBB0BEB,C4,SC_0900,reject
8F3EC829,C2,SC_1116,diagnostic_simulation
902D2B9F,C1,SC_1486,learning_by_teaching
910B2856,C3,SC_1293,reject
919745F9,C4,SC_1515,learning_by_teaching
924197E6,C4,SC_0570,reject
92C7A62B,C2,SC_0123,diagnostic_simulation
944414A8,C4,SC_1515,reject
9445FDE9,C3,SC_0487,reject
94D758B8,C4,SC_1026,reject
9575EF88,C3,SC_1927,reject
9624B8B6,C3,SC_2108,reject
969B51FD,C2,SC_1470,reject
978779FC,C4,SC_1993,reject
999ECD4D,C3,SC_1119,reject
99A7D49F,C4,SC_1253,reject
9B4923FE,C1,SC_0132,feedback_policy_testing
9CFC25ED,C1,SC_1820,learning_by_teaching
9DF32CCF,C2,SC_0292,diagnostic_simulation
9DFB78F2,C3,SC_1281,reject
A07D8F85,C2,SC_1474,diagnostic_simulation
A2BD91B7,C3,SC_0527,reject
A303428D,C4,SC_0265,reject
A331DCB2,C1,SC_1119,learning_by_teaching
A57DC317,C3,SC_0157,reject
A5E780E8,C2,SC_1691,diagnostic_simulation
A8878C82,C3,SC_0871,reject
A8A091CD,C4,SC_0448,reject
AA6ADDBC,C2,SC_0800,diagnostic_simulation
AAAA0093,C2,SC_0605,diagnostic_simulation
AB6AD814,C4,SC_1470,reject
AB80BD07,C1,SC_1250,learning_by_teaching
ACC86AD6,C4,SC_1817,reject
ADD3066F,C1,SC_0553,learning_by_teaching
AE6E0B28,C3,SC_2156,reject
AEDF81DD,C4,SC_1959,reject
B1112031,C4,SC_1994,reject
B117D7E0,C2,SC_0243,diagnostic_simulation
B1BD0CC0,C1,SC_0487,learning_by_teaching
B2816A09,C1,SC_0040,feedback_policy_testing
B3BE09EC,C4,SC_2156,reject
B6233B47,C3,SC_1316,feedback_policy_testing
B74B29AA,C4,SC_0725,feedback_policy_testing
B8832DB9,C2,SC_1260,diagnostic_simulation
B8BDB9C0,C1,SC_0243,learning_by_teaching
B9274800,C4,SC_1572,reject
BBC6715D,C1,SC_1486,learning_by_teaching
C169ECB6,C4,SC_0404,learning_by_teaching
C188D7E9,C4,SC_1368,reject
C3374679,C4,SC_0561,reject
C3B3AED2,C3,SC_1927,reject
C3C2F1EC,C2,SC_2074,diagnostic_simulation
C5525F31,C4,SC_1437,reject
C58B0AB5,C2,SC_0795,diagnostic_simulation
C78451D8,C4,SC_1959,reject
C7D09723,C1,SC_1181,learning_by_teaching
C83A35F5,C1,SC_2108,learning_by_teaching
C87E6612,C3,SC_0900,reject
CCC611BE,C3,SC_1817,feedback_policy_testing
CDA5C601,C2,SC_0404,diagnostic_simulation
CDF8F49B,C3,SC_0040,reject
D0377C42,C1,SC_0353,diagnostic_simulation
D11C9B75,C1,SC_1919,learning_by_teaching
D1355BF7,C2,SC_0046,diagnostic_simulation
D1ACC1DE,C2,SC_1973,diagnostic_simulation
D1B6CEA4,C4,SC_2147,reject
D29A759C,C1,SC_1116,learning_by_teaching
D35FA8F7,C2,SC_1116,feedback_policy_testing
D62E2979,C1,SC_1515,learning_by_teaching
D6D405A1,C1,SC_1572,learning_by_teaching
D706E963,C3,SC_1954,feedback_policy_testing
D72B059A,C4,SC_0243,reject
D8517EC6,C3,SC_0046,reject
DC67D301,C3,SC_0800,reject
DDF6D3CF,C1,SC_0809,learning_by_teaching
DEF23EB2,C4,SC_0123,reject
DF14544B,C1,SC_0746,learning_by_teaching
E0417665,C2,SC_1429,diagnostic_simulation
E15827D5,C3,SC_0605,reject
E166A4DF,C4,SC_1316,reject
E16D1881,C1,SC_1036,learning_by_teaching
E3D6F7CC,C1,SC_0921,learning_by_teaching
